t_s,bending_avg_y_mm,torsion_diff_y_mm,bending_smoothed_mm,torsion_smoothed_mm
7.655528,-0.767373,0.231922,-0.767097,0.233180
7.672195,-0.738176,0.149848,-0.738279,0.150367
7.688862,-0.704561,0.074391,-0.704674,0.075237
7.705528,-0.671021,0.007432,-0.670951,0.006399
7.722195,-0.637678,-0.089684,-0.638370,-0.091472
7.738862,-0.619434,-0.229146,-0.619465,-0.229717
7.755528,-0.603117,-0.377480,-0.603278,-0.377907
7.772195,-0.587543,-0.512384,-0.587292,-0.511185
7.788862,-0.561954,-0.586297,-0.561162,-0.583493
7.805528,-0.515837,-0.563643,-0.515921,-0.562315
7.822195,-0.466987,-0.479872,-0.467128,-0.480540
7.838862,-0.419240,-0.389489,-0.420310,-0.391565
7.855528,-0.389840,-0.334675,-0.389132,-0.334845
7.872195,-0.344482,-0.287665,-0.345285,-0.289949
7.888862,-0.305910,-0.281586,-0.304882,-0.279238
7.905528,-0.237906,-0.224528,-0.237977,-0.224730
7.922195,-0.159350,-0.157152,-0.158604,-0.154332
7.938862,-0.059441,-0.032182,-0.058736,-0.031789
7.955528,0.053391,0.090141,0.051841,0.087269
7.972195,0.130912,0.135226,0.130924,0.133544
7.988862,0.195797,0.119083,0.195932,0.119131
8.005528,0.248597,0.081514,0.248155,0.080831
8.022195,0.279247,0.026307,0.279596,0.027579
8.038862,0.302013,0.003474,0.302371,0.005719
8.055528,0.315668,0.036550,0.316046,0.036562
8.072195,0.316597,0.081708,0.316314,0.080851
8.088862,0.288105,0.116268,0.287103,0.114345
8.105528,0.214597,0.120740,0.214840,0.120157
8.122195,0.118540,0.128159,0.118895,0.129478
8.138862,0.004606,0.184991,0.003374,0.186248
8.155528,-0.151148,0.296726,-0.150449,0.297914
8.172195,-0.308729,0.456640,-0.308529,0.457876
8.188862,-0.471701,0.647960,-0.471602,0.647632
8.205528,-0.637804,0.818326,-0.638189,0.817026
8.222195,-0.811428,0.928725,-0.812167,0.926128
8.238862,-0.992254,0.945417,-0.991700,0.945852
8.255528,-1.148326,0.923505,-1.148454,0.924054
8.272195,-1.282946,0.871107,-1.282184,0.871334
8.288862,-1.373987,0.787174,-1.373767,0.787350
8.305528,-1.428680,0.672387,-1.428455,0.672247
8.322195,-1.447723,0.521584,-1.447849,0.521285
8.338862,-1.439888,0.333855,-1.440027,0.333013
8.355528,-1.407913,0.105104,-1.407903,0.105029
8.372195,-1.351398,-0.140220,-1.351042,-0.141135
8.388862,-1.266684,-0.402009,-1.266938,-0.400987
